,Title,Year,Plot,Rating,Budget,Cast,MPA Rating,Directors,Distributors,Producers,Genre,Runtime in Minutes
0,1. Fresh,2022,"After quitting dating apps, a woman meets the supposedly perfect man and accepts his invitation to a romantic weekend getaway, only to find that her new paramour has been hiding some unusual appetites. FRESH follows Noa (Daisy Edgar-Jones), who meets the alluring Steve (Sebastian Stan) at a grocery store and - given her frustration with dating apps - takes a chance and gives him her number. After their first date, Noa is smitten and accepts Steve's invitation to a romantic weekend getaway, only to find that her new paramour has been hiding some unusual appetites. Fed up with looking for companionship in all the wrong places, disillusioned Noa is done with the dating scene. Then, after an endless series of awful first dates with deluded losers, handsome stranger Steve's magnetic personality catches Noa by surprise. And just like that, Noa decides to give hope a second chance. After all, a loveless life is a life without meaning. But now that she is back in the game, with a sudden surge of potent endorphins flooding her body, Noa must face love's greatest torture: the mysterious, vague uncertainty creeping up on her. Is her Prince Charming too good to be true? If Noa based her choice on the moment, has she bitten off more than she can chew?—Nick Riganas Warning. Contains spoilers Noa and Mollie are best friends and share their lives to each other all the time. Noa uses dating apps to meet young men and tells Mollie how the usually disappointing date was. When she meets the handsome Steve in the supermarket, he hits one her and Noa dates him. She learns that he is from Texas, he is a medical resident and has neither social media nor family. They have one-night stand and Noa takes a picture of his face while sleeping. She sends it to Mollie, and she tells Noa that Steve cannot be trusted since he has no social media. When Steve invites Noa to travel to a surprising place during a romantic weekend, Mollie warns her friend not to go. But Noa goes with Steve, and he tells her to spend the night at his fancy home to travel early in the morning. They drink and Steve drugs Noa that wakes up on a mattress in an empty room and chained to the floor. Soon she learns that Steve is a butcher that kidnaps young women to sell their flesh to a selected group of flesh eaters by an expensive price. Meanwhile Mollie looks for her friend and tries to identify her boyfriend.—Claudio Carvalho, Rio de Janeiro, Brazil",6.7,N/A,"Daisy Edgar-Jones,Sebastian Stan,Jojo T. Gibbs,Andrea Bang,Dayo Okeniyi,Charlotte Le Bon,Brett Dier,Alina Maris,William Belleau,Lachlan Quarmby,Sunghee Lapell,Arghavan Jenati,Anthony F. Ingram,Frances Leigh,Lance Birley,Joe Costa,Larry Hoe,Scott McGrath,Robert Corness,Peter Brown,Dora Kola",R,Mimi Cave,"Hulu,Disney+,Disney+,RTL Zwei,RTL2,SRF zwei,Schweizer Radio und Fernsehen (SRF),Star+","Searchlight Pictures,Legendary Entertainment,Hyperobject Industries","Horror,Thriller",114
1,2. Scream,2022,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past. Like the original movie 25 years ago, a teenage girl is at home alone when the phone rings. A man wants to play a game with her. With the threat of killing her best friend, Tara's forced to play along. She barely survives the ghost face masked intruder's stabbing. Her 5 year older sister, Sam(antha), who left home at 18 due to mental problems, Sam's boyfriend and Tara's high school friends visit her at the hospital. Later on in a bar, a guy provokes the friends and is later attacked outside in the parking lot by Ghostface. Sam receives a call from him at the hospital and then he unsuccessfully attacks her. She later reveals family secrets to her sister. Sam contacts one of the original victims, Dewey, for help. He warns two other original victims, Sidney Prescott and Gale Weathers, about Ghostface being back. Who is Ghostface? How many more must die?—Scott Filtenborg",6.3,"$24,000,000 (estimated)","Neve Campbell,Courteney Cox,David Arquette,Melissa Barrera,Jack Quaid,Mikey Madison,Jenna Ortega,Dylan Minnette,Jasmin Savoy Brown,Mason Gooding,Sonia Ammar,Marley Shelton,Skeet Ulrich,Kyle Gallner,Chester Tam,Reggie Conquest,Heather Matarazzo,Brooke Barnhill,Stephen West-Rogers,Milli M.,Roger Jackson,Christopher Speed,Chelsea Rebecca,James A. Janisse,Drew Barrymore,Adam Brody,Clayton Frank,Dylan Kelley,Jamie Kennedy,Brittany Kroll,Matthew Lillard,Boomer Mays,Henry Winkler",R,"Matt Bettinelli-Olpin,Tyler Gillett","Paramount Pictures,Paramount Pictures UK,Paramount Pictures,B&H Film Distribution,Central Partnership,Constantin Film,Forum Hungary,NOS Audiovisuais,Odeon,Paramount Pictures Australia,Paramount Pictures Germany,Paramount Pictures International,Paramount Pictures International,Paramount Pictures,SF Film Finland,United International Pictures (UIP),United International Pictures,Universal Pictures International (UPI),Warner Bros. Pictures,Amazon Prime Video,Apple TV+,Netflix,Network 10,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Pictures,Paramount+,Spyglass Media Group,TV5","Paramount Pictures,Spyglass Media Group,Project X Entertainment,Outerbanks Entertainment,Radio Silence Productions,Lantern Entertainment","Horror,Mystery,Thriller",114
2,3. Speak No Evil,2022,"A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness. The Danish couple Bjørn and the vegetarian wife Louise and their young daughter Agnes are spending summer vacation at Tuscany, Italy. Agnes loses her stuffed rabbit Ninus and Bjørn seeks out the toy until he finds it. Soon they befriend the Dutch couple Patrick and Karin and their young son Abel, who was born without a tongue. When they return home, they receive an invitation from the Dutch couple to spend a weekend with them at their countryside house. They travel by car and after two days, Louise feels uncomfortable with the strange situations they have been submitted by the Dutch couple and convinces Bjørn to return home in the middle of the night. However, Agnes forgets to bring Ninus, and they return to the house to retrieve the toy. Patrick and Karin apologize for the wrong-doings and Bjørn and Louise decides to stay for the rest of the holiday. However, during the night, Bjørn snoops around and finds dark secrets in the house and tells Louise that they will leave immediately the house but does not disclose his discoveries to her. What have Bjørn seen in the house?—Claudio Carvalho, Rio de Janeiro, Brazil",6.6,"$3,200,000 (estimated)","Morten Burian,Sidsel Siem Koch,Fedja van Huêt,Karina Smulders,Liva Forsberg,Marius Damslev,Hichem Yacoubi,Jesper Dupont,Lea Baastrup Rønne,Adrian Blanchard,Sarina Maria Rausa,Ilaria Di Raimo,Alessio Barni,Ilaria Casai,Martina Barreca,Andrea Benucci,Sieger Sloot",Not,Christian Tafdrup,"Capella Film,Night Edge Pictures,Nordisk Film Distribution,Plaion Pictures,September Film,ADS Service,Divo,Estinfilm,Europos Kinas JSC,Lev Cinemas,Midnight Factory,Midnight Factory,Oceana Studios,Plaion Pictures,Plaion Pictures,Plaion Pictures,RLJ Entertainment,RLJ Entertainment,Shudder,Sidus Fnh,The Reset Collective,The Reset Collective","Profile Pictures,OAK Motion Pictures,Det Danske Filminstitut,FilmFyn,Netherlands Film Production Incentive","Drama,Horror,Mystery,Thriller",97
3,4. Living,2022,"In 1950s London, a humorless bureaucrat decides to take time off work to experience life after receiving a grim diagnosis. Overwhelmed at work and lonely at home, a council bureaucrat's life takes a heartbreaking turn when a medical diagnosis tells him his time is short. Influenced by a local decadent and a vibrant woman, he continues to search for meaning until a simple revelation gives him a purpose to create a legacy for the next generation.—Official synopsis London, 1953. Having sacrificed the best years of his uneventful life toiling away at Kafkaesque, soul-draining London County Council, buttoned-up civil servant Mr Williams realises there's no time for regrets. And as retirement looms, the unsightly, irrevocable truth forces the melancholic English gentleman into a tardive revaluation of his mundane concerns. Because time is free, but it flies like an arrow. In the end, we all have one life to live. The question is, can we make it count?—Nick Riganas",7.2,,"Alex Sharp,Adrian Rawlins,Hubert Burton,Oliver Chris,Bill Nighy,Michael Cochrane,Anant Varman,Aimee Lou Wood,Zoe Boyle,Lia Williams,Jessica Flood,Jamie Wilkes,Richard Cunningham,John Mackay,Ffion Jolly,Celeste Dodwell,Jonathan Keeble,Patsy Ferran,Barney Fishwick,Eunice Roberts,Mark James,Edward Wolstenholme,Tom Burke,Nichola McAuliffe,Laurie Denman,Gleanne Purcell-Brown,Violeta Valverde,Michael James,Rosie Sansom,Matilda Ziegler,Grant Gillespie,Robin Sebastian,David Summer,Nicky Goldie,Thomas Coombes,Mamie Barry,Doug Berry,Colin Blyth,Gianni Calchetti,Robert William Carlisle,Kieran Chalker,Grant Crookes,Liam Edwards,Daniel Eghan,Nigel Finnissy,Zachary Goldman,Callum Gore,Ty Hurley,Huw Morgan,Dan Robins,Kat-Anne Rogers,Stuart Whelan,Holly-Jean Williamson",PG-13,Oliver Hermanus,"Lionsgate,Sony Pictures Classics,Cine Canibal,Lionsgate,Metropolitan Filmexport,Odeon,Sony Pictures Classics,Sony Pictures Classics,Sony Pictures Releasing,The Searchers,Toho,Wanda Visión,Amazon Instant Video,Filmin,Front Row Filmed Entertainment,Google Play,MagentaTV,Maxdome Store,Maxdome,NOS Audiovisuais,Netflix,Netflix,Rakuten TV,Sky Store,The Searchers,Videoload,Youtube Filme & TV,iTunes","Film4,County Hall,Lipsync Productions,Rocket Science,Kurosawa Production Co.,Filmgate Films,Film i Väst,Number 9 Films,MEDIA Programme of the European Union,Business Finland,British Film Institute,Ingenious",Drama,102
4,5. Watcher,2022,"A young American woman moves with her husband to Bucharest, and begins to suspect that a stranger who watches her from an apartment window may be a serial killer. The American Julia and her Romanian American husband Francis move from New York to Bucharest and are welcomed by the super Eleonora of the apartment building where they will live. Julia was an actress in the USA and does not speak Romanian. Francis works in marketing and has a great professional opportunity returning to Romania. Julia stays alone in the apartment along the days and notes that a watcher is looking at her apartment. While walking on the neighborhood, Julia and Francis see the police and learn that a serial-killer, Spider, has killed his fourth victim and her decapitated body was found nearby their building. On the next day, Julia goes to the movie theater and a man moves to the seat behind her. She leaves the movie theater and goes to the supermarket and the stalker follows her. She believes the stalker and the watcher are the same man but she cannot prove. Soon she befriends her next-door neighbor Irina, who lived in London and has a perfect English. When Julia sees the man on the street, she follows him and finds that he works as janitor in the club where Irina works. Julia follows the man everywhere and Francis believes she is stressed and paranoid. But is she really paranoid or has may be the watcher the wanted serial-killer?—Claudio Carvalho, Rio de Janeiro, Brazil",6.3,N/A,"Maika Monroe,Karl Glusman,Burn Gorman,Tudor Petrut,Gabriela Butuc,Madalina Anea,Cristina Deleanu,Bogdan Farcas,Daniel Nuta,Ioana Abur,Flaviu Crisan,Stefan Iancu,Florian Ghimpu,Lucian Ionescu,Radu Bunescu,Alexandru Ion,Ciprian Chiriches,Ionut Grama,Simona Patruleasa,Ioana Hirica,Alice Cora Mihalache,Aida Economu,Andreea Sovan,Adrian Radulescu,Petre Moraru,Marius Cobzariu,Otilia Panainte,Ruslan Vieru,Philippe Nevo,Mircea Bujoreanu,Delia Riciu,Ioana Farcas,Cosmina-Georgiana Stefanoaia,Florina-Izabela Stancu,Georgiana-Ioana Radu,Mihaela Ion,Victor Neagu,Izabela Popescu,Edoard Leroy,Marian Iordachescu,Nucu Stangaciu,Daniela Druga,Coca Zibilianu,Nicolae Ivanescu,Alin Rosu,Marin Gheorghe,Ciubuciu Bogdan Alexandru,Vlad Balan,Corina Ciontu,Bogdan Mohora,Iulian Nica,Eduard-Florin Lazar,Catalin Cnej,Nicusor Gaureanu,Paul Dumitrescu,Camelia Stanescu,Daniel Dobre,Madalina Grosu,Bruno Neagu,Petre Lica,Beatrice Dinu,Alexandru Antemia,Alexandru Unguru,Gabriela-Mirabela Sirzan,Bogdan Leparda,Catalina Nan,Constantin Cozma,Monica Buscan,Aristide Marica,Dan Tuculescu,George Boscacu,Madalina Balasoiu,Istvan Bordi,Edit Mihaesteanu,Radu Niculescu,Alexandru Badea,Sofia Maria Tescula,Elena Dumitru,Cristiana Cojocaru,Melania Rosoi,Viorela Popa,Loredana Rabdea,Gabriel Stoicut,Mihai Moscalu,Gregory Chater,James Ketteridge,Gabriel Stoica,Livia Maria Sîrbu",R,Chloe Okuno,"IFC Midnight,Cine Canibal,Universal Pictures International (UPI),IFC Films,Shudder","Animal Casting Time,Imagenation Abu Dhabi FZ,Lost City,Spooky Pictures","Drama,Horror,Thriller",96
5,6. Redeeming Love,2022,"Sold into prostitution as a child, Angel knows nothing but betrayal. Can her heart ever be mended? Based upon the novel by Francine Rivers. Based on the bestselling novel by Francine Rivers, REDEEMING LOVE is a powerful story of relentless love and perseverance as a young couple's relationship clashes with the harsh realities of the California Gold Rush of 1850. It is a life-changing story of the power of unconditional and all-consuming love. Coming to theaters January 21, 2022, REDEEMING LOVE shows there is no brokenness that love can't heal.",6.7,"$30,000,000 (estimated)","Abigail Cowen,Tom Lewis,Eric Dane,Famke Janssen,Logan Marshall-Green,Nina Dobrev,Livi Birch,Jamie-Lee O'Donnell,Willie Watson,Josh Taylor,Ke-Xi Wu,Brandon Auret,Clyde Berning,Tanya van Graan,Milton Schorr,Martial Tchana Batchamen,Arsema Thomas,Lauren McGregor,Daniah De Villiers,Tayah Ronen Abels,Mera Munro,Morgan Poynter,Talia Auret,Jasmine Maylam,Nancy Sekhokoane,Paul Snodgrass,Amy Louise Wilson,Brett Williams,Nicholas Pauling,Conrad Kemp,Andrew Dennison,Terri Lane,Francesca Varrie Michel,Daniel Kühne,Rubin Wissing,Skye Russell,Anja Taljaard,Glen Nel,Sean Coltman,Robert Coutts,Stephen Jennings,Kayla Van Tonder,Andrew Roux,Hanroux Van Niekerk,Gita Galina,Clellind Fivaz,Nadine Theron,Simone Inez Welgemoed,Lauren Steyn",PG-13,D.J. Caruso,"Universal Pictures,SAJE Distribution,Universal Pictures,7flix,Amazon Prime Video,Apple TV+,Gerth Medien,Peacock,Starz,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE)","Nthibah Pictures,Pinnacle Peak Pictures,Mission Pictures International,Advantage Entertainment","Drama,Romance,Western",134
6,7. Shattered,2022,"A rich divorcee Chris falls in love with a mysterious woman Sky where Chris, ex-wife and his child eventually gets trapped and a desperate fight for survival will most likely ensue.",5.0,"$1,000,000 (estimated)","Cameron Monaghan,Sasha Luss,Ridley Asha Bateman,Lilly Krug,John Malkovich,Ash Santos,James C. Burns,Dat Phan,Frank Grillo,J.M. Logan,Matt Falletta,David Benyena,Leandra Hill",R,Luis Prieto,"Grindstone Entertainment Group,Lionsgate,Dutch FilmWorks (DFW),MDfilm,Amazon Prime Video,Apple TV+,Cappu Films,Defiant Screen Entertainment,Leonine Distribution,Lionsgate Home Entertainment,Lionsgate Home Entertainment,Netflix,Plex Tv,Signature Entertainment,Signature Entertainment,The Roku Channel,Top Film Distribution,Tubi TV","Construction Film,Grindstone Entertainment Group,Silver Reel","Crime,Drama,Horror,Mystery,Thriller",92
7,8. Hotel Transylvania: Transformania,2022,"After one experiment, Johnny turns into a monster and everyone else becomes human. Now it has to be seen whether they will be able to reverse this experiment. When Van Helsing's mysterious invention, the ""Monsterfication Ray"", goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac, stripped of his powers, and an exuberant Johnny, loving life as a monster, must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy. With help from Mavis and the hilariously human Drac Pack, the heat is on to find a way to switch themselves back before their transformations become permanent.—Sony Pictures After the eventful holiday in Hotel Transylvania 3: Summer Vacation (2018), Count Dracula has a little announcement to make. However, as ecstatic Johnny starts meddling with Van Helsing's mysterious contraptions, all hell breaks loose, and suddenly, a new tenant sets foot in the ancient monster resort. Now, the Prince of Darkness isn't feeling himself, and his son-in-law, too, is someone else. As friends and family do their best to avert the inevitable, a frenzied journey to the corner of the Earth begins. Can Mavis and her monstrous dream team right a wrong and stop the transformation that ruins everything?—Nick Riganas",6.0,N/A,"Andy Samberg,Selena Gomez,Kathryn Hahn,Jim Gaffigan,Steve Buscemi,Molly Shannon,David Spade,Keegan-Michael Key,Brian Hull,Fran Drescher,Brad Abrell,Asher Blinkoff,Zoe Berri,Tyler Blevins,Genndy Tartakovsky,Asher Bishop,Jennifer Kluska,Victoria Gomez,Derek Drymon,Aaron LaPlante,Melissa Sturm,Chloé Malaisé,Scott Underwood,Michelle Murdocca,Will Townsend,David Berón,Natalia Castellanos,Todd Haberkorn,Jess Harnell,Marabina Jaimes,Lex Lang,Caitlin McKenna,David Michie,Diego Osorio,Juan Pacheco,Jacqueline Pinol,Ben Pronsky,Michelle Ruff,Fred Tatasciore,Amanda Troop,Debra Wilson,Michael-Leon Wooley",TV-G,"Derek Drymon,Jennifer Kluska","Amazon Prime Video,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,HKC Entertainment","Columbia Pictures,Sony Pictures Animation,Amazon Studios,Media Rights Capital","Animation,Adventure,Comedy,Family,Fantasy",87
8,"9. Good Luck to You, Leo Grande",2022,"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. And she has a plan, which involves hiring a young sex worker named Leo Grande. In GOOD LUCK TO YOU, LEO GRANDE, two-time Academy Award winner Emma Thompson (Love, Actually) embodies the candor and apprehension of retired teacher Nancy Stokes, and newcomer Daryl McCormack (Peaky Blinders) personifies the charisma and compassion of sex worker Leo Grande. As Nancy embarks on a post-marital sexual awakening and Leo draws on his skills and charm, together they find a surprising human connection. After three long decades of unsatisfying marital relations with the same man, widowed former RE teacher Nancy Stokes plucks up the courage to step out of her comfort zone. And not knowing what to expect, uptight Nancy decides to explore her dormant sexuality by paying for a discreet sexual experience with charming, courteous, soft-spoken young escort Leo Grande. As the polite and tolerant professional tries to figure out what Nancy needs to hear and do, the conflicted schoolteacher finds herself grappling with unprecedented emotions and thoughts about her body and unspoken desires. But after all these years, can Nancy take control of her sex life and receive the longed-for pleasure she deserves?—Nick Riganas",7.2,N/A,"Daryl McCormack,Emma Thompson,Les Mabaleka,Lennie Beare,Carina Lopes,Charlotte Ware,Isabella Laughland",R,Sophie Hyde,"Searchlight Pictures,MK2 Mile End,Lionsgate,Hulu,BfParis,Corazón Films,Forum Hungary,Tanweer Alliances,Wild Bunch Distribution,Wild Bunch Germany,Ymer Media,Ascot Elite Entertainment Group,EuroVideo,EuroVideo,Front Row Filmed Entertainment,NOS Audiovisuais,Vértigo,BIM Distribuzione,Shaw Organisation,Svoe Kino,9Go!,Arna Media,Superfine Films","Align,Genesius Pictures","Comedy,Drama",97
9,10. The 355,2022,"When a top-secret weapon falls into mercenary hands, a wild-card C.I.A. agent joins forces with three international agents on a mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move. When a top-secret weapon falls into mercenary hands, wild card CIA agent Mason ""Mace"" Brown will need to join forces with rival badass German agent Marie, former MI6 ally and cutting-edge computer specialist Khadijah, and skilled Colombian psychologist Graciela on a lethal, breakneck mission to retrieve it, while also staying one-step ahead of a mysterious woman, Lin Mi Sheng, who is tracking their every move. As the action rockets around the globe from the cafes of Paris to the markets of Morocco to the wealth and glamour of Shanghai, the quartet of women will forge a tenuous loyalty that could protect the world-or get them killed.—HEYUGUYS",5.6,"$75,000,000 (estimated)","Jessica Chastain,Penélope Cruz,Bingbing Fan,Diane Kruger,Lupita Nyong'o,Sebastian Stan,Edgar Ramírez,Jason Flemyng,Sylvester Groth,John Douglas Thompson,Leo Staar,Pablo Scola,Marcello Cruz,Eddie Arnold,Sebastián Capitán Viveros,Federico Trujillo,Jason Wong,Raphael Acloque,Dom Dumaresq,Gethin Alderman,Costin Cambir,Joseph Wicks,Alexander Cardona,Francisco Labbe,Waleed Elgadi,Amra Mallassi,Zaydun Khalaf,Polly Middlehurst,Tom Cox,Lee Wilkinson,Oleg Kricunova,Emilio Insolera,Jeffrey Chekai,Eldi Dundee,Yoon C. Joyce,David Yu,Kevin Ta,Charles M. Baker,Sebastian Roldan,Bodo Friesecke,Claudia Neumann,Dina Al Salih,Yassine Anaddam,Rodrig Andrisan,Elizabeth Ansari,David Olawale Ayinde,Alexis Barbosa,Edoardo Barile,Toni Beard,Nicholas Blatt,Graham Burton,Michael Carter,Arnel Casabar,Colin Chapman,Wong Charlie,Dailis Cirulis,Richard Curtis,Maud Druine,Ali El Khodary,Mo Firuzzi,Eliza Flores,John Foreman,Chris Grifoni,Juke Hardy,Metin Hassan,Michael Haydon,Gwen Hussein,Leigh Hutchinson,Madara Kanele,Rick Klink,Nina Kumar,Adnan Kundi,Yun Lai,Mariia Legun,Eugene Lin,Patrick Loh,Keith Lomas,Marian Lorencik,Martyn Mayger,Paul O'Kelly,Jeremy Oliver,Nick Owenford,T. Mark Owens,Hiten Patel,Jag Patel,Graeme Peacock,Dee Pearce,Gino Picciano,Amanda Rabinowitz,Graham j Reeves,Zsuzsanna Roe,Maurice Sardison,Toby Sauerback,Steve Saunders,Sebastian Senior,Atul Sharma,Sam Shoubber,Lee Simmons,Indy Singh,Mick Slaney,Victoria Sterling,Adam Strawford,Marta Svetek,Michelle Thomas,Winson Ting,Peter Trevor,Michael Ukandu,Rashid Ullah,James Paul Ureta,Evie Wray,Rina Yadav",PG-13,Simon Kinberg,"Universal Pictures,TME Films,Ascot Elite Entertainment Group,Autumn Sun,Belga Films,Blue Lantern Entertainment International,Central Partnership,Chantier Films,China Film Group Corporation (CFGC),Cinemundo,Diamond Films,Diamond Films,Diamond Films,Diamond Films,Diamond Films,Diamond Films,Diamond Films,Entertainment One,Forum Film Slovakia,Garage Play,Golden Screen Cinemas,HKC Entertainment,Independent Films,Intercontinental Film Distributors (HK),Italia Film,Italia Film,Italia Film,Italia Films,Joyncontents Group,Kino Films,Leone Film Group,Lev Cinemas,Nordisk Film Distribution,Nordisk Film,Norsk Filmdistribusjon,PT. Prima Cinema Multimedia,PVR Pictures,Pioneer Films,Roadshow Film Distributors (NZ) Ltd.,Roadshow Films,SND Films,Shaw Organisation,Spentzos Films,Spentzos Films,Ster-Kinekor Pictures,Sun Distribution,Ukrainian Film Distribution (UFD),Universal Pictures International (UPI),Universal Pictures International (UPI),Vertical Entertainment,Vertical Entertainment,Amazon Prime Video,Apple TV+,Canal+,Central Partnership,Leonine Distribution,Mediumrare Entertainment,Mediumrare Entertainment,Nordisk Film Distribution,Peacock,SBS Viceland,Starz,Studio Distribution Services (SDS),Studio Distribution Services (SDS),Trans TV,Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE)","Universal Pictures,FilmNation Entertainment,Freckle Films,Genre Films,CAA Media Finance,Huayi Brothers Media,Perfect World Pictures","Action,Thriller",122
